,id,leagueId,radiantTeamId,direTeamId,seriesId,gameVersionId,regionId,clusterId,didRadiantWin,startDateTime,endDateTime,durationSeconds,firstBloodTime,towerStatusRadiant,towerStatusDire,barracksStatusRadiant,barracksStatusDire
0,2049344492,4194,2413318,1236083,37085,55,3,133,True,1451747539,1451749692,2153,192,1982,1824,63,63
1,2049487960,4127,-1261029514,2538753,37083,55,3,132,False,1451750828,1451752449,1621,146,1572,1974,63,63
2,2049512022,4194,1236083,2413318,37085,55,3,132,False,1451751397,1451753483,2086,134,1536,2047,14,63
3,2049611198,4127,2538753,-1261029514,37094,55,3,133,False,1451753863,1451756308,2445,13,1572,1972,15,63
4,2049664745,4194,2664907,2593523,37100,55,3,132,True,1451755182,1451756853,1671,45,2040,1536,63,0
5,2049756270,4127,2538753,-1261029514,37105,55,3,132,True,1451757588,1451759275,1687,0,1854,1920,63,56
6,2049759347,2954,1966890,-985956694,37106,55,3,133,True,1451757671,1451758659,988,249,2039,1824,63,62
7,2049773936,4194,2593523,2664907,37100,55,3,132,False,1451758065,1451760170,2105,113,6,1974,3,63
8,2049837414,2954,-985956694,1966890,37106,55,3,132,False,1451759856,1451762224,2368,248,0,1956,0,63
9,2049908794,4127,2535294,2246141,37127,55,3,132,False,1451761984,1451763474,1490,216,1540,2036,3,63
